momentID,activity,moment,counterparty,price,dateGMT
13052474,Bought,Rudy Gay · SAS · Dunk · 1/22/2021 · Base Set · Series 2 · #37961,0x6448c64636c80e62 (TheCJiggles),2,2022-04-13T21:37:12.000Z
7812150,Listed,Dennis Smith Jr. · DET · Dunk · 2/26/2021 · Base Set · Series 2 · #25889,,3,2022-04-13T21:38:28.000Z
9296989,Listed,Hamidou Diallo · DET · Dunk · 4/3/2021 · Base Set · Series 2 · #22508,,3,2022-04-13T21:39:28.000Z
11712505,Bought,Daniel Theis · CHI · Dunk · 3/29/2021 · Base Set · Series 2 · #22557,0x005c6d94a2a9a011 (Libano),2,2022-04-13T21:41:09.000Z
8176254,Bought,Kevin Huerter · ATL · Layup · 2/13/2021 · Base Set · Series 2 · #24401,0x21f483109e094588 (imjosh),2,2022-04-13T23:05:38.000Z
20214266,Delisted,Karl-Anthony Towns · MIN · Dunk · 10/20/2021 · Base Set · Series 3 · #29587,,,2022-04-13T23:22:11.000Z
20214266,Listed,Karl-Anthony Towns · MIN · Dunk · 10/20/2021 · Base Set · Series 3 · #29587,,2,2022-04-13T23:23:40.000Z
2797911,Bought,De'Andre Hunter · ATL · Dunk · 1/24/2021 · Base Set · Series 2 · #23744,0x24da5eb443000efe (RJBUCKBUCK),3,2022-04-14T00:53:47.000Z
2753960,Bought,Clint Capela · ATL · Dunk · 2/6/2021 · Base Set · Series 2 · #4793,0x21f483109e094588 (imjosh),3,2022-04-14T00:54:54.000Z
28750148,Listed,Miles Bridges · CHA · Block · 1/2/2022 · Base Set · Series 3 · #11518,,2,2022-04-14T01:29:23.000Z
6111443,Bought,Trae Young · ATL · 3 Pointer · 1/26/2021 · Base Set · Series 2 · #14109,0x3bf7f656b8015d03 (Anilcan),4,2022-04-14T01:32:39.000Z
15501590,Bought,CJ McCollum · POR · Jump Shot · 6/1/2021 · 2021 NBA Playoffs · Series 2 · #7345,0xceeab95d34270c99 (Tabatabezz),8,2022-04-14T03:12:52.000Z
13052474,Listed,Rudy Gay · SAS · Dunk · 1/22/2021 · Base Set · Series 2 · #37961,,3,2022-04-14T03:58:07.000Z
14307963,Listed,Jaxson Hayes · NOP · Dunk · 1/13/2021 · Base Set · Series 2 · #37519,,3,2022-04-14T03:58:52.000Z
13170416,Listed,Joe Ingles · UTA · 3 Pointer · 1/23/2021 · Base Set · Series 2 · #35876,,3,2022-04-14T03:59:21.000Z
10952965,Listed,Josh Jackson · DET · Dunk · 2/11/2021 · Base Set · Series 2 · #33425,,3,2022-04-14T04:00:26.000Z
12214901,Listed,Luguentz Dort · OKC · 3 Pointer · 2/24/2021 · Base Set · Series 2 · #32953,,3,2022-04-14T04:01:11.000Z
13911201,Listed,T.J. McConnell · IND · Steal · 3/3/2021 · Base Set · Series 2 · #24757,,3,2022-04-14T04:01:28.000Z
9242117,Bought,Devin Vassell · SAS · Dunk · 2/6/2021 · Base Set · Series 2 · #16261,0x8c216f4933b90fc4 (BDS_525),4,2022-04-14T04:03:25.000Z
13344397,Listed,Dejounte Murray · SAS · Dunk · 3/31/2021 · Hustle and Show · Series 2 · #11857,,8,2022-04-14T04:06:17.000Z
11712505,Listed,Daniel Theis · CHI · Dunk · 3/29/2021 · Base Set · Series 2 · #22557,,3,2022-04-14T04:07:43.000Z
10386529,Listed,Michael Carter-Williams · ORL · Dunk · 3/30/2021 · Base Set · Series 2 · #28629,,3,2022-04-14T04:08:16.000Z
11712505,Sold,Daniel Theis · CHI · Dunk · 3/29/2021 · Base Set · Series 2 · #22557,0x582e3a1594a3222a (BronDaGoat),3,2022-04-14T16:43:41.000Z
12214901,Delisted,Luguentz Dort · OKC · 3 Pointer · 2/24/2021 · Base Set · Series 2 · #32953,,,2022-04-14T17:26:45.000Z
10952965,Delisted,Josh Jackson · DET · Dunk · 2/11/2021 · Base Set · Series 2 · #33425,,,2022-04-14T17:26:52.000Z
10386529,Delisted,Michael Carter-Williams · ORL · Dunk · 3/30/2021 · Base Set · Series 2 · #28629,,,2022-04-14T17:26:52.000Z
9296989,Delisted,Hamidou Diallo · DET · Dunk · 4/3/2021 · Base Set · Series 2 · #22508,,,2022-04-14T17:26:57.000Z
14307963,Delisted,Jaxson Hayes · NOP · Dunk · 1/13/2021 · Base Set · Series 2 · #37519,,,2022-04-14T17:26:59.000Z
12214901,Listed,Luguentz Dort · OKC · 3 Pointer · 2/24/2021 · Base Set · Series 2 · #32953,,2,2022-04-14T17:28:25.000Z
10952965,Listed,Josh Jackson · DET · Dunk · 2/11/2021 · Base Set · Series 2 · #33425,,2,2022-04-14T17:28:28.000Z
10386529,Listed,Michael Carter-Williams · ORL · Dunk · 3/30/2021 · Base Set · Series 2 · #28629,,2,2022-04-14T17:28:28.000Z
14307963,Listed,Jaxson Hayes · NOP · Dunk · 1/13/2021 · Base Set · Series 2 · #37519,,2,2022-04-14T17:28:43.000Z
